,Global Mean Error,Root mean sq. error of local heat flux,Global fluctuations error,Root mean sq. error of local fluctuations
train,-0.5335355532419825,16.968195514764712,-8.360629250102718,1.9902221173825467e-05
validation,-0.6529110025197116,17.723646335081593,-8.851401580615304,6.387458741166803e-05
test,-0.4435776574584734,17.455181312304163,-8.263282184675603,7.111100734014861e-05
