,Global Mean Error,Root mean sq. error of local heat flux,Global fluctuations error,Root mean sq. error of local fluctuations
train,-35.47761727049084,49.680181487567275,-3.9689143285116066,128.1530183407535
validation,-35.45080584501819,49.67692210053254,-3.7723824293385015,128.24688675046644
test,-36.42202373229947,49.65766549330887,-4.023443941187806,127.92761660929838
