,Global Mean Error,Root mean sq. error of local heat flux,Global fluctuations error,Root mean sq. error of local fluctuations
train,0.8607368987125261,36.12214264145448,43.647636117850894,137.60038195970472
validation,0.868985100689851,36.152661254474836,43.26362983100351,137.3039688040441
test,-0.1449380393548702,36.136691726305784,43.67214231669769,137.52545557058008
