,Global Mean Error,Local Mean Error,Fluctuating Error global,Fluctuating Error Local,Fluctuating Error Std
train,258297366.005236,9282884784.812332,,4.231749754625323,1232175258.648045
validation,244459344.41355956,4794118317.81381,,1.7507598501426758,2919297374.771204
test,-4503409363.543158,97226758230.95909,,22.444401121529346,2263844007.426919
