,Global Mean Error,Root mean sq. error of local heat flux,Global fluctuations error,Root mean sq. error of local fluctuations
train,-79.11578519396404,82.70976672161028,-51.70098122717687,90.78505873661206
validation,-79.13149907491207,82.71479554114836,-51.6876895400051,90.84758364436337
test,-79.18337641320358,82.71808776566418,-51.709380860945096,90.84288233056476
