,Global Mean Error,Root mean sq. error of local shear stress,Global fluctuations error,Root mean sq. error of local fluctuations
train,0.7121401901999138,23.66324914730985,-12.641879152896715,59.92602634106798
validation,0.6627214757397905,23.868939625232084,-12.34687211334748,60.35711434953288
test,-0.8398774069874765,23.889817748422708,-12.305709650638956,60.35463086635414
