,Global Mean Error,Root mean sq. error of local shear stress,Global fluctuations error,Root mean sq. error of local fluctuations
train,-151.115507268885,168.56216206788528,39.036393736918576,189.33854037923942
validation,-150.3908670050849,169.24146690048465,46.71968758886943,196.09871321933167
test,-150.0646385722934,169.75163702032816,53.002455152656545,199.32644721308523
