,Global Mean Error,Root mean sq. error of local heat flux,Global fluctuations error,Root mean sq. error of local fluctuations
train,0.7494373951896454,12.627357171605935,-2.7744949238657624,30.39101005188321
validation,0.7787779611184065,12.642200952818419,-2.749892370085858,30.450049780709303
test,-0.25696480570828195,12.665466389422697,-2.7608113123132134,30.388052728137115
