,Global Mean Error,Root mean sq. error of local shear stress,Global fluctuations error,Root mean sq. error of local fluctuations
train,-0.6246350638130904,22.61548971089872,-15.085669871748244,1.4066294211937272e-05
validation,-0.48694979868841093,24.118598278017917,-12.47654854810386,8.29611672131568e-07
test,-0.3890584061774557,23.934546948598047,-12.747210743856416,6.8944544553513555e-06
