,Global Mean Error,Root mean sq. error of local heat flux,Global fluctuations error,Root mean sq. error of local fluctuations
train,-5.261617149659722,24.716337290421425,-45.37747946223515,59.11747927726543
validation,-5.24542024131993,24.852885809303903,-45.43045290434518,59.38308472443127
test,-3.1020104040188614,24.85994742143843,-45.47104681106302,59.15508871865245
