,Global Mean Error,Root mean sq. error of local heat flux,Global fluctuations error,Root mean sq. error of local fluctuations
train,2.4005372470529727,25.051873387103562,-15.548435502391467,59.798770556280424
validation,3.060213975481273,24.806191822975446,-14.7683213393181,59.414774588107534
test,2.401074151814767,24.929525847837272,-15.58593065780097,59.36111098406438
