,Global Mean Error,Root mean sq. error of local heat flux,Global fluctuations error,Root mean sq. error of local fluctuations
train,2.799385326333263,17.42848423957113,-7.900310390949452,41.66798130806028
validation,2.8132508327436754,17.407434191858854,-7.883092804463512,41.647157945926025
test,1.8795803170033714,17.441754835045113,-7.869559462327307,41.643039684614415
