,Global Mean Error,Root mean sq. error of local heat flux,Global fluctuations error,Root mean sq. error of local fluctuations
train,0.4490361989281498,19.53067946915244,-8.315828917534258,46.93297859802667
validation,0.4357525586991816,19.540020648126436,-8.318566183291285,46.96064512541462
test,-0.5719318392265826,19.532571943484182,-8.355248825410214,46.86252955159558
