,Global Mean Error,Root mean sq. error of local shear stress,Global fluctuations error,Root mean sq. error of local fluctuations
train,-183.10841583118395,198.3119131948824,33.9646155641663,2.2898553791912267e-05
validation,-183.5548551328984,198.0302125711755,26.377121621270348,2.6315964818812823e-05
test,-182.79557883927095,198.55799916631787,33.42343782907366,6.948445379449409e-05
