,Global Mean Error,Root mean sq. error of local heat flux,Global fluctuations error,Root mean sq. error of local fluctuations
train,-0.1700942790066466,16.68620523701378,-7.793222535915249,2.8430954552673213e-05
validation,0.0178067814410191,17.59008214861687,-7.220131222218313,3.553839975652229e-05
test,-0.08333009951042285,17.530531387824766,-8.232855976957591,1.730349612332103e-05
