,Global Mean Error,Root mean sq. error of local heat flux,Global fluctuations error,Root mean sq. error of local fluctuations
train,-89.01341146021917,93.22208504725836,-42.833035149328985,105.24811544244757
validation,-89.02526027250993,93.21967614899987,-42.75517271303356,105.27988778977453
test,-89.03137659637568,93.22499691763693,-42.76983128071428,105.16636886596251
