,Global Mean Error,Root mean sq. error of local heat flux,Global fluctuations error,Root mean sq. error of local fluctuations
train,-63.829955040617115,68.5646173003121,-46.346596671244285,61.05567292247534
validation,-63.808136736989404,68.53257814654489,-46.283499962008804,61.01355365466343
test,-63.82625327973576,68.55290000270635,-46.323571417687724,60.98237505185671
