,Global Mean Error,Root mean sq. error of local heat flux,Global fluctuations error,Root mean sq. error of local fluctuations
train,0.973050527796256,27.64203029193314,-5.999317109424804,67.4489748135013
validation,1.0043701233700537,27.66739810203151,-5.998444137051103,67.47188449272393
test,-0.037831724362650025,27.616108341684757,-5.967616265004465,67.33477234197886
