,Global Mean Error,Root mean sq. error of local heat flux,Global fluctuations error,Root mean sq. error of local fluctuations,Root mean sq. error of local shear stress
train,0.43464238860222326,,-0.29563304933793433,1.5382876872870492e-06,12.133257054171679
validation,0.5346965223376977,,-0.3142494723215285,6.420788475402542e-05,14.089173518841072
test,0.569108010032266,,-0.4023408876887285,1.7519668711107812e-05,14.008221716067338
