,Global Mean Error,Root mean sq. error of local heat flux,Global fluctuations error,Root mean sq. error of local fluctuations
train,-3.1591643144378962,24.759748988217193,-45.51487948825895,58.78233469907674
validation,-3.031641972791382,24.779567808603296,-45.54675468417018,59.30361266308458
test,-2.9296615528608605,24.75922336781469,-45.230458999082,59.12597041272536
