,Global Mean Error,Root mean sq. error of local heat flux,Global fluctuations error,Root mean sq. error of local fluctuations
train,1.75447482151009,9.608773985712572,-1.2862703246125013,23.0930505583618
validation,1.7328297866118707,10.743829606199071,-1.4456508902998102,25.831048345676383
test,0.722006352515134,10.705108263534644,-1.3773548150272674,25.611037196912463
