,Global Mean Error,Local MSE,Local MAE,Fluctuating MSE,Fluctuating Error Std
train,-261.8247391152582,123435.33505859316,36.089481569484164,7.430129775921745e-15,-5.970518841360263
validation,257.92602527702246,132465.7652931474,35.87640204223175,7.131680374340415e-16,-5.372232596618813
test,-487.05856078792726,614677.9873764524,38.042032443098904,1.3289546558557594e-14,-5.8233168266896795
