,Global Mean Error,Root mean sq. error of local heat flux,Global fluctuations error,Root mean sq. error of local fluctuations
train,1.0276352206856063,19.033714611634192,-7.403581469456155,45.76767517254837
validation,1.021957567119821,19.039012387233235,-7.41106310279467,45.786937314395026
test,-0.00045853053595073867,19.025753818783947,-7.447992612795239,45.66969874916009
