,Global Mean Error,Root mean sq. error of local heat flux,Global fluctuations error,Root mean sq. error of local fluctuations
train,34.1136858246175,37.13136798430278,30.56108219262924,44.89094925985584
validation,34.119024204387934,37.13224067015693,30.614243678440733,44.91136138580518
test,32.07044696588884,37.11806960292365,30.64315933594462,44.633095631918316
