,Global Mean Error,Root mean sq. error of local shear stress,Global fluctuations error,Root mean sq. error of local fluctuations
train,-150.76470329156862,168.91618055830403,42.415582932778705,192.1270220561295
validation,1271699.8813430693,3301064.099482504,-47.119794764293175,113.09707314168888
test,-4113776.1842595553,10671315.913992276,-47.122582835409034,113.10584770284582
