,Global Mean Error,Root mean sq. error of local shear stress,Global fluctuations error,Root mean sq. error of local fluctuations
train,5298.6525123592955,73822.52746385876,-5.594672595404699,39.426776431559375
validation,13021.827228245882,194941.2946599317,-5.867085366137867,42.727225341459544
test,-915.4765951263205,13660.79871400222,-5.896717304121635,42.71287621285939
